X,Y,CANTIDAD,SQR CANTIDAD,,,,,,,,
4.485,17.78,11.56230669,3.400339202,,,,,,,,
5.537,17.78,4.75608158,2.180844236,,,,,,,,
6.395,25.4,4.197619683,2.048809333,,,,,,,,
2.495,25.4,4.197619683,2.048809333,,,,,,,,
20.32,3.315,3.210342038,1.791742738,,,,,,,,
20.32,8.115,3.210342038,1.791742738,,,,,,,,
27.94,3.315,3.210342038,1.791742738,,,,,,,,
27.94,8.115,3.210342038,1.791742738,,,,,,,,
20.615,12.065,3.174538707,1.781723521,,,,,,,,
16.215,12.065,3.174538707,1.781723521,,,,,,,,
11.7348,15.4686,1.595131471,1.262985143,,,,,,,,
11.7348,17.78,1.595131471,1.262985143,,,,,,,,
11.7348,20.0914,1.595131471,1.262985143,,,,,,,,
27.178,15.24,1.521124929,1.233338935,,,,,,,,
28.702,15.24,1.521124929,1.233338935,,,,,,,,
75.15,36.83,1.122368923,1.059419144,,,,,,,,
77.25,36.83,1.122368923,1.059419144,,,,,,,,
26.89,34.29,1.122368923,1.059419144,,,,,,,,
28.99,34.29,1.122368923,1.059419144,,,,,,,,
26.89,36.83,1.122368923,1.059419144,,,,,,,,
28.99,36.83,1.122368923,1.059419144,,,,,,,,
26.89,41.91,1.122368923,1.059419144,,,,,,,,
28.99,41.91,1.122368923,1.059419144,,,,,,,,
11.785,15.5,1.102270384,1.049890653,,,,,,,,
11.785,20.06,1.102270384,1.049890653,,,,,,,,
9.355,45.212,0.943927963,0.971559552,,,,,,,,
7.155,45.212,0.943927963,0.971559552,,,,,,,,
14.39,25.4,0.9,0.948683298,,,,,,,,
16.09,25.4,0.9,0.948683298,,,,,,,,
20.74,25.4,0.9,0.948683298,,,,,,,,
22.44,25.4,0.9,0.948683298,,,,,,,,
70.8406,38.1922,0.874388276,0.93508731,,,,,,,,
19.812,50.8,0.874388276,0.93508731,,,,,,,,
50.8,28.3464,0.874388276,0.93508731,,,,,,,,
2.667,2.413,0.874388276,0.93508731,,,,,,,,
11.065,35.56,0.853814968,0.924021086,,,,,,,,
13.065,35.56,0.853814968,0.924021086,,,,,,,,
11.065,40.64,0.853814968,0.924021086,,,,,,,,
13.065,40.64,0.853814968,0.924021086,,,,,,,,
27.14,44.45,0.802314676,0.8957202,,,,,,,,
26.962,44.45,0.802314676,0.8957202,,,,,,,,
28.918,44.45,0.802314676,0.8957202,,,,,,,,
28.74,44.45,0.802314676,0.8957202,,,,,,,,
58.128,39.37,0.802314676,0.8957202,,,,,,,,
57.95,39.37,0.802314676,0.8957202,,,,,,,,
59.906,39.37,0.802314676,0.8957202,,,,,,,,
59.728,39.37,0.802314676,0.8957202,,,,,,,,
12.865,43.815,0.802314676,0.8957202,,,,,,,,
13.043,43.815,0.802314676,0.8957202,,,,,,,,
11.087,43.815,0.802314676,0.8957202,,,,,,,,
11.265,43.815,0.802314676,0.8957202,,,,,,,,
40.845,30.419,0.802314676,0.8957202,,,,,,,,
41.023,30.419,0.802314676,0.8957202,,,,,,,,
39.067,30.419,0.802314676,0.8957202,,,,,,,,
39.245,30.419,0.802314676,0.8957202,,,,,,,,
27.14,21.59,0.802314676,0.8957202,,,,,,,,
26.962,21.59,0.802314676,0.8957202,,,,,,,,
28.918,21.59,0.802314676,0.8957202,,,,,,,,
28.74,21.59,0.802314676,0.8957202,,,,,,,,
27.14,17.78,0.802314676,0.8957202,,,,,,,,
26.962,17.78,0.802314676,0.8957202,,,,,,,,
28.918,17.78,0.802314676,0.8957202,,,,,,,,
28.74,17.78,0.802314676,0.8957202,,,,,,,,
22.39,17.78,0.802314676,0.8957202,,,,,,,,
22.568,17.78,0.802314676,0.8957202,,,,,,,,
20.612,17.78,0.802314676,0.8957202,,,,,,,,
20.79,17.78,0.802314676,0.8957202,,,,,,,,
17.437,27.305,0.802314676,0.8957202,,,,,,,,
17.615,27.305,0.802314676,0.8957202,,,,,,,,
19.215,27.305,0.802314676,0.8957202,,,,,,,,
19.393,27.305,0.802314676,0.8957202,,,,,,,,
20.79,27.305,0.802314676,0.8957202,,,,,,,,
20.612,27.305,0.802314676,0.8957202,,,,,,,,
22.568,27.305,0.802314676,0.8957202,,,,,,,,
22.39,27.305,0.802314676,0.8957202,,,,,,,,
16.218,17.78,0.802314676,0.8957202,,,,,,,,
16.04,17.78,0.802314676,0.8957202,,,,,,,,
16.04,27.305,0.802314676,0.8957202,,,,,,,,
16.218,27.305,0.802314676,0.8957202,,,,,,,,
14.44,17.78,0.802314676,0.8957202,,,,,,,,
14.262,17.78,0.802314676,0.8957202,,,,,,,,
14.262,27.305,0.802314676,0.8957202,,,,,,,,
14.44,27.305,0.802314676,0.8957202,,,,,,,,
37.808,7.112,0.802314676,0.8957202,,,,,,,,
37.63,7.112,0.802314676,0.8957202,,,,,,,,
39.586,7.112,0.802314676,0.8957202,,,,,,,,
39.408,7.112,0.802314676,0.8957202,,,,,,,,
28.74,13.335,0.802314676,0.8957202,,,,,,,,
28.918,13.335,0.802314676,0.8957202,,,,,,,,
26.962,13.335,0.802314676,0.8957202,,,,,,,,
27.14,13.335,0.802314676,0.8957202,,,,,,,,
20.79,33.655,0.802314676,0.8957202,,,,,,,,
20.612,33.655,0.802314676,0.8957202,,,,,,,,
22.568,33.655,0.802314676,0.8957202,,,,,,,,
22.39,33.655,0.802314676,0.8957202,,,,,,,,
16.218,33.655,0.802314676,0.8957202,,,,,,,,
16.04,33.655,0.802314676,0.8957202,,,,,,,,
14.44,33.655,0.802314676,0.8957202,,,,,,,,
14.262,33.655,0.802314676,0.8957202,,,,,,,,
39.8152,18.669,0.642213557,0.801382279,,,,,,,,
40.1948,18.669,0.642213557,0.801382279,,,,,,,,
39.8152,16.891,0.642213557,0.801382279,,,,,,,,
40.1948,16.891,0.642213557,0.801382279,,,,,,,,
40.1948,15.494,0.642213557,0.801382279,,,,,,,,
39.8152,15.494,0.642213557,0.801382279,,,,,,,,
40.1948,10.541,0.642213557,0.801382279,,,,,,,,
39.8152,10.541,0.642213557,0.801382279,,,,,,,,
41.7202,15.494,0.642213557,0.801382279,,,,,,,,
42.0998,15.494,0.642213557,0.801382279,,,,,,,,
40.1948,13.716,0.642213557,0.801382279,,,,,,,,
39.8152,13.716,0.642213557,0.801382279,,,,,,,,
40.1948,12.319,0.642213557,0.801382279,,,,,,,,
39.8152,12.319,0.642213557,0.801382279,,,,,,,,
41.7202,13.716,0.642213557,0.801382279,,,,,,,,
42.0998,13.716,0.642213557,0.801382279,,,,,,,,
40.005,18.58,0.633910769,0.796185135,,,,,,,,
40.005,18.758,0.633910769,0.796185135,,,,,,,,
